#	ColorTiming skill tuning table
#	Id		Key	EntityName	Lifetime	Damage	InstantKill	Speed	ArrivalEpsilon	EndDelay	PatternA	PatternB	PatternC	CountA	CountB	UseCurve	SoundCueId
#	int		string	string	float	int	bool	float	float	float	float	float	float	int	int	bool	string
#		Note	Semantic skill key	GF entity resource name	Lifetime seconds	Damage amount	Instant-kill rule	Travel speed	Arrival distance epsilon	End delay	Pattern parameter A	Pattern parameter B	Pattern parameter C	Pattern count A	Pattern count B	Use curved movement	Semantic sound cue id
	1	Skill id	player.normal	sk_nor	1	1	False	0	0	0	0	0	0	0	0	False
	2		player.scissors	sk_jiandao	1	1	False	0	0	0	0	0	0	0	0	False
	8		player.scissors.alt	sk_jiandao 2	1	1	False	0	0	0	0	0	0	0	0	False
	3		player.hammer	sk_chuizi	1	1	False	0	0	0	0	0	0	0	0	False
	4		player.bomb	sk_zhadan	1	1	False	10	0.01	0	0.5	0	0	0	0	True	skill.explosion
	5		player.knife	sk_meigongdao	1	1	False	0	0	0	0	0	0	0	0	False
	6		player.axe	sk_futou	1	1	False	0	0	0	0	0	0	0	0	False
	7		player.airplane	sk_feiji	1	1	False	12	0.01	0	0	0	0	0	0	False	skill.explosion
	101		boss1.attack1	sk_Boss1_atk1	1	1	False	0	0	0	0	0	0	0	0	False
	102		boss1.attack2	sk_Boss1_atk2	1	1	False	0	0	0	0	0	0	0	0	False
	103		boss1.attack3	sk_Boss1_atk3	1	1	False	0	0	0	0	0	0	0	0	False
	109		boss1.attack3.alt	sk_Boss1_atk3 1	1	1	False	0	0	0	0	0	0	0	0	False
	104		boss1.attack4		1	1	False	0	0	0	0	0	0	0	0	False
	105		boss1.attack5	sk_Boss1_atk5	1	1	False	0	0	0	1.8	-180	0	16	0	False
	115		boss1.attack5.burst	sk_Boss1_atk5_b	1	1	False	0	0	0	1.8	-180	0	16	0	False
	116		boss1.attack5.item	sk_boos_atk5_item	1	1	False	0	0	0	0	0	0	0	0	False
	106		boss1.attack6	sk_Boss1_atk6	1	1	False	0	0	0	0	0	0	0	0	False
	201		boss2.attack1	sk_Boss2_Atk1	1	1	False	0	0	0	0	0	0	0	0	False
	202		boss2.projectile	sk_Boss2_atk2	1	1	False	15	0.01	0.5	50	0.75	0.25	0	0	False
	203		boss2.grid	sk_Boss2_atk2_s	1	1	False	0	0	5	3.5	2	7	5	4	False
	204		boss2.telegraph	bo2_sk2_luodian	1	0	False	0	0	0.5	0.3	0.05	5	0	0	False
	205		boss2.tail.attack	sk_Bo2w_atk1-t	1	1	False	0	0	0	0	0	0	0	0	False
	206		boss2.burrow.attack	sk_Bo2_atk0	1	1	False	0	0	0	0	0	0	0	0	False
