"Source","Target","Bytes","SourceSHA256","TargetSHA256","Status"
"Assets\Editor\SpineSettings.asset","Assets\Editor\SpineSettings.asset","1011","FD29000F882C57E3E388AEE693474F518FD8FE93AE50E379D47B19104125D93A","FD29000F882C57E3E388AEE693474F518FD8FE93AE50E379D47B19104125D93A","Same"
"Assets\Editor\SpineSettings.asset.meta","Assets\Editor\SpineSettings.asset.meta","189","1AEF3A51933039F9118619A47FC55839EB78EC60FADD3ADAD844E20D15E986BC","1AEF3A51933039F9118619A47FC55839EB78EC60FADD3ADAD844E20D15E986BC","Same"
"Assets\Art\Sound.meta","Assets\Game\Audio\ColorTiming.meta","172","2916180C4A8CEE505D6886C4177EEA9767C344E33C265A22F078977726866E49","2916180C4A8CEE505D6886C4177EEA9767C344E33C265A22F078977726866E49","Same"
"Assets\Art\Sound\amb_cave.wav","Assets\Game\Audio\ColorTiming\amb_cave.wav","10080690","1817696045F0E5CF58DE736D920A4AFE57F596B2421A6FF490B461783C19762E","1817696045F0E5CF58DE736D920A4AFE57F596B2421A6FF490B461783C19762E","Same"
"Assets\Art\Sound\amb_cave.wav.meta","Assets\Game\Audio\ColorTiming\amb_cave.wav.meta","485","495611D1747E0FEB228B577D73E4D4FE969DDDEE8F7C9DCDB7718212DEB2F93B","495611D1747E0FEB228B577D73E4D4FE969DDDEE8F7C9DCDB7718212DEB2F93B","Same"
"Assets\Art\Sound\attack4.WAV","Assets\Game\Audio\ColorTiming\attack4.WAV","749646","0FB4403CEEE39E1105B9BBB8F0D01554083E81AD7F21E272AEB06E780CC9B7C2","0FB4403CEEE39E1105B9BBB8F0D01554083E81AD7F21E272AEB06E780CC9B7C2","Same"
"Assets\Art\Sound\attack4.WAV.meta","Assets\Game\Audio\ColorTiming\attack4.WAV.meta","485","46D33B0739327327F6712A018CE300E6F1055651DDBF8FAAC98B4D865428C4CB","46D33B0739327327F6712A018CE300E6F1055651DDBF8FAAC98B4D865428C4CB","Same"
"Assets\Art\Sound\axe_chopping.WAV","Assets\Game\Audio\ColorTiming\axe_chopping.WAV","127054","8707E512A1027A972E0EBC7274C7ABC0AFE86611C70140ABE627C3712C26CEFE","8707E512A1027A972E0EBC7274C7ABC0AFE86611C70140ABE627C3712C26CEFE","Same"
"Assets\Art\Sound\axe_chopping.WAV.meta","Assets\Game\Audio\ColorTiming\axe_chopping.WAV.meta","485","9BD3399685EB0A7BFC62D5925B7BD1A785B9EF6F08A47B0FC670DCED1944B47E","9BD3399685EB0A7BFC62D5925B7BD1A785B9EF6F08A47B0FC670DCED1944B47E","Same"
"Assets\Art\Sound\BGM.meta","Assets\Game\Audio\ColorTiming\BGM.meta","172","378635B94CDDA34E80FDD8F0D56407D1DE84062E1634FCACC3789BD50B791406","378635B94CDDA34E80FDD8F0D56407D1DE84062E1634FCACC3789BD50B791406","Same"
"Assets\Art\Sound\BGM\菜单第三版.wav","Assets\Game\Audio\ColorTiming\BGM\菜单第三版.wav","38759694","8001B4733E775948AAB4DE694C88EF086B09631B5830430DB9793433F6CA91A5","8001B4733E775948AAB4DE694C88EF086B09631B5830430DB9793433F6CA91A5","Same"
"Assets\Art\Sound\BGM\菜单第三版.wav.meta","Assets\Game\Audio\ColorTiming\BGM\菜单第三版.wav.meta","485","C67FA6B63ACD3FB8377B1D0F635FB108E5DA8188063FF627BFEB7FE5DDA6CB9E","C67FA6B63ACD3FB8377B1D0F635FB108E5DA8188063FF627BFEB7FE5DDA6CB9E","Same"
"Assets\Art\Sound\BGM\第二章bgm0526.wav","Assets\Game\Audio\ColorTiming\BGM\第二章bgm0526.wav","18113032","7D914117311117824B99175F3A30D58B0C82DB60E0E675F04FF38EBF59AA59B8","7D914117311117824B99175F3A30D58B0C82DB60E0E675F04FF38EBF59AA59B8","Same"
"Assets\Art\Sound\BGM\第二章bgm0526.wav.meta","Assets\Game\Audio\ColorTiming\BGM\第二章bgm0526.wav.meta","485","692C70F56A9507C47AEA4F0BF64691305CA04332F4B19D998C621BBF9A458306","692C70F56A9507C47AEA4F0BF64691305CA04332F4B19D998C621BBF9A458306","Same"
"Assets\Art\Sound\BGM\第一章bgm0526.wav","Assets\Game\Audio\ColorTiming\BGM\第一章bgm0526.wav","18113032","7AEFC017E59899B0E550244245B032471BA61D809FA8F5276AB54D408F7DF93F","7AEFC017E59899B0E550244245B032471BA61D809FA8F5276AB54D408F7DF93F","Same"
"Assets\Art\Sound\BGM\第一章bgm0526.wav.meta","Assets\Game\Audio\ColorTiming\BGM\第一章bgm0526.wav.meta","485","83CF2B5D9C2F02B1B9E0A5FE0FA692C599D13AE387C5A3218EAA6A3E6607EC06","83CF2B5D9C2F02B1B9E0A5FE0FA692C599D13AE387C5A3218EAA6A3E6607EC06","Same"
"Assets\Art\Sound\blanket_walk-001.wav","Assets\Game\Audio\ColorTiming\blanket_walk-001.wav","61518","D0A00F0E20AA5635F1B0EECF5DCDD26D7FB40B086EDEE44D519BF5C2ED63935F","D0A00F0E20AA5635F1B0EECF5DCDD26D7FB40B086EDEE44D519BF5C2ED63935F","Same"
"Assets\Art\Sound\blanket_walk-001.wav.meta","Assets\Game\Audio\ColorTiming\blanket_walk-001.wav.meta","485","5313AFA1FB538C07EF2AC044D9EE7EF34F3E2B20EA078040301EC1863FB1FFCF","5313AFA1FB538C07EF2AC044D9EE7EF34F3E2B20EA078040301EC1863FB1FFCF","Same"
"Assets\Art\Sound\blanket_walk-002.wav","Assets\Game\Audio\ColorTiming\blanket_walk-002.wav","65614","663C6A82D1ACBE1C6E87860D4CD5CE250311FB36CF432742591FDF78A1E1078B","663C6A82D1ACBE1C6E87860D4CD5CE250311FB36CF432742591FDF78A1E1078B","Same"
"Assets\Art\Sound\blanket_walk-002.wav.meta","Assets\Game\Audio\ColorTiming\blanket_walk-002.wav.meta","485","9AC740A8C29D398B081B4AE5FCA7DE292B61632662F28D5BE8EEB43A48AA360E","9AC740A8C29D398B081B4AE5FCA7DE292B61632662F28D5BE8EEB43A48AA360E","Same"
"Assets\Art\Sound\blanket_walk-003.wav","Assets\Game\Audio\ColorTiming\blanket_walk-003.wav","49230","8B87807C6D93017B306684403E2D9C2AEF3AAA8D9F0BD6AFA06B2C4C028FB65B","8B87807C6D93017B306684403E2D9C2AEF3AAA8D9F0BD6AFA06B2C4C028FB65B","Same"
"Assets\Art\Sound\blanket_walk-003.wav.meta","Assets\Game\Audio\ColorTiming\blanket_walk-003.wav.meta","485","F5CBB56C7D8C28EABF0E080C1D2773E1A5DE5835FD3290027EC38E9F9F335B9E","F5CBB56C7D8C28EABF0E080C1D2773E1A5DE5835FD3290027EC38E9F9F335B9E","Same"
"Assets\Art\Sound\blanket_walk-004.wav","Assets\Game\Audio\ColorTiming\blanket_walk-004.wav","77902","7487ED6FC818E05B7AD7AA7DDB549E1E04669FE1131C14B5410B4B87DBFF0FFE","7487ED6FC818E05B7AD7AA7DDB549E1E04669FE1131C14B5410B4B87DBFF0FFE","Same"
"Assets\Art\Sound\blanket_walk-004.wav.meta","Assets\Game\Audio\ColorTiming\blanket_walk-004.wav.meta","485","78D7C24CC72514F44BAF8B7B8E0669164C6505CAE3A201E4C813653B28C48AE9","78D7C24CC72514F44BAF8B7B8E0669164C6505CAE3A201E4C813653B28C48AE9","Same"
"Assets\Art\Sound\bomb_burst.WAV","Assets\Game\Audio\ColorTiming\bomb_burst.WAV","143438","46461E578771C03AB8B1B6EDB7B858CA38A1B37DC4850209A5E3DF71898BC3BC","46461E578771C03AB8B1B6EDB7B858CA38A1B37DC4850209A5E3DF71898BC3BC","Same"
"Assets\Art\Sound\bomb_burst.WAV.meta","Assets\Game\Audio\ColorTiming\bomb_burst.WAV.meta","485","857352B2C82139332DD6861FA7B0135E224888B69EBD0346B43B1C0EEEC3F511","857352B2C82139332DD6861FA7B0135E224888B69EBD0346B43B1C0EEEC3F511","Same"
"Assets\Art\Sound\boss_beat_puppet.WAV","Assets\Game\Audio\ColorTiming\boss_beat_puppet.WAV","254030","FEB2256BF9DEC8082F4DC522BA1EFA78FC04F572081C152484629481F1343165","FEB2256BF9DEC8082F4DC522BA1EFA78FC04F572081C152484629481F1343165","Same"
"Assets\Art\Sound\boss_beat_puppet.WAV.meta","Assets\Game\Audio\ColorTiming\boss_beat_puppet.WAV.meta","485","198CF118761DCBAA8784B77F9791B17FAC720F65BFB843A006C8651E88224969","198CF118761DCBAA8784B77F9791B17FAC720F65BFB843A006C8651E88224969","Same"
"Assets\Art\Sound\boss_being_hit.WAV","Assets\Game\Audio\ColorTiming\boss_being_hit.WAV","159822","E7390487EB7B221C4E3AEC23B9F18141F3BE73C52DF941E9F4BFD8EC07DC0CCC","E7390487EB7B221C4E3AEC23B9F18141F3BE73C52DF941E9F4BFD8EC07DC0CCC","Same"
"Assets\Art\Sound\boss_being_hit.WAV.meta","Assets\Game\Audio\ColorTiming\boss_being_hit.WAV.meta","485","C5D04352D30A4DA137A4B44051D3F0CB3F12A1964D2EF713267D75456C8BFBEE","C5D04352D30A4DA137A4B44051D3F0CB3F12A1964D2EF713267D75456C8BFBEE","Same"
"Assets\Art\Sound\boss_big_move.WAV","Assets\Game\Audio\ColorTiming\boss_big_move.WAV","143438","E9AF9151C4462531E3848375726CB0F430351B81D2F24262D64D88003EFA7DB6","E9AF9151C4462531E3848375726CB0F430351B81D2F24262D64D88003EFA7DB6","Same"
"Assets\Art\Sound\boss_big_move.WAV.meta","Assets\Game\Audio\ColorTiming\boss_big_move.WAV.meta","485","0873CF23A2E889F1031F8C8F87CCD02D90571BE7251E5EC4B96519D625FE07F2","0873CF23A2E889F1031F8C8F87CCD02D90571BE7251E5EC4B96519D625FE07F2","Same"
