asset,method
Assets/Game/Prefba/Game/Esc.prefab,OpenKeyTip
Assets/Game/Prefba/Game/Esc.prefab,GoNextLevel
Assets/Game/Prefba/Game/Esc.prefab,GoNextLevel
Assets/Game/Prefba/Game/Esc.prefab,OffKeyTip
Assets/Game/Prefba/Game/Esc.prefab,BackMenu
Assets/Scenes/StartMenu.unity,OffKeyTip
Assets/Scenes/StartMenu.unity,SetSFX
Assets/Scenes/StartMenu.unity,SettingBtnDwon
Assets/Scenes/StartMenu.unity,SetBGM
Assets/Scenes/StartMenu.unity,GoTest2
Assets/Scenes/StartMenu.unity,SetBGM
Assets/Scenes/StartMenu.unity,GoTest1
Assets/Scenes/StartMenu.unity,BackSettingBtnDwon
Assets/Scenes/StartMenu.unity,SetSFX
Assets/Scenes/StartMenu.unity,GoTest2
Assets/Scenes/StartMenu.unity,BackStartBtnDown
Assets/Scenes/StartMenu.unity,StartGameBtnDown
Assets/Scenes/StartMenu.unity,ExitGameBtn
Assets/Scenes/StartMenu.unity,OpenKeyTip
