guid,source_path,target_path
00017fc07162e0e4fb9daac66aad5f20,Assets/Art/Image/Boss/Skill5/尖刺特效_15.png,Assets/Game/ColorTiming/Art/Image/Boss/Skill5/尖刺特效_15.png
00342573cabb8ea44bafa27335f04c25,Assets/Art/Image/yin,Assets/Game/ColorTiming/Art/Image/yin
0049920591493b642ab4209acdf943f4,Assets/Art/Image/Scene/B1/a1,Assets/Game/ColorTiming/Art/Image/Scene/B1/a1
006014ab4365a334da2ad48457598132,Assets/Art/Image/Scene/B1/a1/a1待_72.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a1/a1待_72.png
00926a2bf348b6d47a7178adaeed18e7,Assets/Art/Image/Scene/B1/a1/a1待_23.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a1/a1待_23.png
009f6feab39e35f449579815f1552cc9,Assets/Art/Image/Scene/B1/a2/dj/a2草待机_11.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a2/dj/a2草待机_11.png
00b46d6b5c4fd634397f87245cf42e60,Assets/Art/Image/Hero/Sequence/feiji/skill/橙色飞机（空中）_0003.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/feiji/skill/橙色飞机（空中）_0003.png
00b9c995d30706740be5862edf9b87c9,Assets/Art/Image/Hero/Sequence/Siwang/被击杀后_0005.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Siwang/被击杀后_0005.png
00dd83d916ae6e8499db8145550aea83,Assets/Art/Image/Hero/Sequence/futou/yidong/红色斧头移动_0005.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/futou/yidong/红色斧头移动_0005.png
00df05c99dcc1e6479fca109de528687,Assets/Art/Image/Weapon/Tip1/提示圈-第一章_0036.png,Assets/Game/ColorTiming/Art/Image/Weapon/Tip1/提示圈-第一章_0036.png
00e1abd686f71fd4e8b481585418412c,Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/移动蓄力（紫）_0012.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/移动蓄力（紫）_0012.png
00e46ffe52e71f74483eeb2d5ce09d4a,Assets/Art/Image/Scene/B1/a4/dj/skeleton-animation_042.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a4/dj/skeleton-animation_042.png
00e7eb341d7781246935e14a4715ce77,Assets/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/原地蓄力（紫）_0000.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Chuizi/Gongji/Zi/原地蓄力（紫）_0000.png
00fd1918eec384648b40eeadb38014ee,Assets/Art/Image/Hero/Sequence/futou/gongji/chen/橙色斧头蓄力（原地）_0000.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/futou/gongji/chen/橙色斧头蓄力（原地）_0000.png
00fdc83850ca31446913f333fbd380af,Assets/Art/Image/Hero/Sequence/Chuizi/yidong/绿色锤子移动_0000.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Chuizi/yidong/绿色锤子移动_0000.png
00fe149e48dd565468468a29ececeb4a,Assets/Art/Image/UI_Start,Assets/Game/ColorTiming/Art/Image/UI_Start
01076a1ce2852c74eb37a3532b8feae7,Assets/Art/Image/Hero/Sequence/Dao/gongji/橙色刀攻击_0002.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Dao/gongji/橙色刀攻击_0002.png
010e204f2cd91574ea2c7c9ae22b08a6,Assets/Art/Image/Hero/Sequence/Dao/daiji,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Dao/daiji
011755bd7f1d7a84b81f67380d839abf,Assets/Art/Image/Boss/Skill5/尖刺特效_29.png,Assets/Game/ColorTiming/Art/Image/Boss/Skill5/尖刺特效_29.png
0129ccf938eb5114f8abd56784fd78f9,Assets/Art/Image/Scene/B1/a4/c/a4草动_35.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a4/c/a4草动_35.png
0134640f881c8d24d812a6f9af9d0761,Assets/Plugins/Spine/Editor/spine-unity/Editor/Components,Assets/Plugins/Spine/Editor/spine-unity/Editor/Components
01595709fe876584cba15a6f9430b1e9,Assets/Art/Image/Scene/B1/a4/dj/skeleton-animation_063.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a4/dj/skeleton-animation_063.png
01654d40a6cf1e049824b4478cfbadc1,Assets/Art/Image/Scene/B1/a4/a4_cao_dj.anim,Assets/Game/ColorTiming/Art/Image/Scene/B1/a4/a4_cao_dj.anim
0166d5fad050e704e9ca487060650448,Assets/Art/Image/Hero/Sequence/futou/gongji/chen/橙色斧头蓄力（原地）_0006.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/futou/gongji/chen/橙色斧头蓄力（原地）_0006.png
0168ee1596d4daa4f9df6e3bdd2c0352,Assets/Art/Image/Scene/B1/a5/c/a5草动_56.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a5/c/a5草动_56.png
016efb82a5e10e747a191e1d87e32a58,Assets/Art/Image/Hero/Sequence/futou/gongji/hong/xuliw_do_f_hong.anim,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/futou/gongji/hong/xuliw_do_f_hong.anim
0171a9be5f0865a46859d98b45c67441,Assets/Art/Image/Scene/B1/a6/dj/a6草待机_029.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a6/dj/a6草待机_029.png
01a8c90df788d654cb08fbf39af12d4a,Assets/Art/Image/Scene/B1/a5/dj/skeleton-animation_063.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a5/dj/skeleton-animation_063.png
01ac847cf6d387c41939611a7a871fbe,Assets/Art/Image/Scene/B1/a5/dj/skeleton-animation_123.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a5/dj/skeleton-animation_123.png
01b746c956c390a418e4c0a18a51dc8c,Assets/Art/Image/Hero/Sequence/Zhadan/yidong/紫色炸弹移动_0001.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Zhadan/yidong/紫色炸弹移动_0001.png
01cbef8f24d105f4bafa9668d669e040,Assets/Plugins/Spine/Editor/spine-unity/Editor/Asset Types/SkeletonDataAssetInspector.cs,Assets/Plugins/Spine/Editor/spine-unity/Editor/Asset Types/SkeletonDataAssetInspector.cs
01e60e194fa864b44ad7f98b3dd857e8,Assets/Art/Image/Hero/Sequence/feiji/skill/红色飞机爆炸_0003.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/feiji/skill/红色飞机爆炸_0003.png
01e9fafd2866c584bb8632a160b8a18a,Assets/Art/Image/Hero/Sequence/feiji/gongji/紫色飞机投掷_0005.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/feiji/gongji/紫色飞机投掷_0005.png
01f559a4089a54645b50298f35e7efcc,Assets/Art/Image/Scene/B1/a2/c/a2草动_10.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a2/c/a2草动_10.png
022aada08db86544aaa580f09050a53c,Assets/Art/Image/Hero/Sequence/Zhadan/gongji/投掷（绿）_0000.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Zhadan/gongji/投掷（绿）_0000.png
022ed382acaf39344a7bcc3c896dabed,Assets/Art/Image/Hero/Sequence/feiji/gongji/紫色飞机投掷_0002.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/feiji/gongji/紫色飞机投掷_0002.png
023eeb2739ad7f442a37abde0361f507,Assets/Art/Image/Scene/B1/a6/dj/a6草待机_073.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a6/dj/a6草待机_073.png
0242c0aa42e27964eb8f3ea9bf4475a9,Assets/Art/Image/Scene/B1/a6/dj/a6草待机_018.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a6/dj/a6草待机_018.png
0253bb3cda65edd43b86506b20cf1546,Assets/Art/Image/Weapon/剪1.png,Assets/Game/ColorTiming/Art/Image/Weapon/剪1.png
0261f7b352eed944ebdabcb235f80022,Assets/Art/Image/Scene/B1/a2/dj/a2草待机_39.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a2/dj/a2草待机_39.png
02627b8e2276bbd449c42e04815038a0,Assets/Art/Image/Hero/Sequence/Dao/gongji/橙色刀攻击_0006.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/Dao/gongji/橙色刀攻击_0006.png
026e7ef17d0f20c42bcf8636edc186a5,Assets/Art/Image/Weapon/Tip2/提示圈-第二章_0023.png,Assets/Game/ColorTiming/Art/Image/Weapon/Tip2/提示圈-第二章_0023.png
0274864acf6c7084a9ad324fac26e2b7,Assets/Art/Image/Scene/B1/a3/dj/a3草待机_030.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a3/dj/a3草待机_030.png
02822eb69e09dd947b434ab81e3d938f,Assets/Plugins/Spine/Editor/spine-unity/Editor/GUI/icon-constraintIK.png,Assets/Plugins/Spine/Editor/spine-unity/Editor/GUI/icon-constraintIK.png
028d396f015c00041a13847633d256af,Assets/Art/Anim_Skill/sk_bo1_atk1.anim,Assets/Game/ColorTiming/Art/Anim_Skill/sk_bo1_atk1.anim
0292286376470b94fa17d6879300e322,Assets/Art/Image/Scene/B1/a3/dj/a3草待机_041.png,Assets/Game/ColorTiming/Art/Image/Scene/B1/a3/dj/a3草待机_041.png
0299ffae826705448b6c80ccc6a53b75,Assets/Plugins/Spine/Runtime/spine-unity/Shaders/Outline/BlendModes/Spine-Skeleton-PMA-Additive-Outline.shader,Assets/Plugins/Spine/Runtime/spine-unity/Shaders/Outline/BlendModes/Spine-Skeleton-PMA-Additive-Outline.shader
02aae87c39b869548a9051fbdb1975e6,Assets/Plugins/Spine/Runtime/spine-unity/Components/SkeletonUtility/FollowLocationRigidbody2D.cs,Assets/Plugins/Spine/Runtime/spine-unity/Components/SkeletonUtility/FollowLocationRigidbody2D.cs
02abca97c1086ab469afd8b6874f697a,Assets/Art/Image/Hero/Sequence/jiandao/daiji/红色剪刀待机_0008.png,Assets/Game/ColorTiming/Art/Image/Hero/Sequence/jiandao/daiji/红色剪刀待机_0008.png
02baf1454287a2c429ef9114365214f5,Assets/Art/Sound/boss_tail_comes_out_of_the_soil.WAV,Assets/Game/ColorTiming/Art/Sound/boss_tail_comes_out_of_the_soil.WAV
