Action,GUID,Source,Target,Note
"Move","767882ebdab486e498bfa708dff859ed","Assets/Game/Sprites/ColorTiming/Boss/Skill5/boos1_atk5.anim","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/Boss1_Attack5_Effect.anim",""
"Move","2dfeb5238af1fa64c867527119867aad","Assets/Game/Sprites/ColorTiming/Boss/Skill5/boos1_atk5.controller","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/Boss1_Attack5_Effect.controller",""
"Move","678fd861b1813af4bb1c05604ef587f9","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_00.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0000.png",""
"Move","cecbdca080af0c3469c41bdc0d389734","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_01.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0001.png",""
"Move","8cc02214bb4c78244968011054dc5902","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_02.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0002.png",""
"Move","6b8d19f63315f014ea4e79dfdf9ce6e8","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_03.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0003.png",""
"Move","606a42e56b5b4c445bc6db19b33b1ac1","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_04.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0004.png",""
"Move","a85484d4c7d650f4ab24c554908e804f","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_05.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0005.png",""
"Move","58f3ea929bbb04840b11b05bbca56ab7","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_06.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0006.png",""
"Move","e53d54b8db5b46341869698aa6c4731f","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_07.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0007.png",""
"Move","42ac531609528254ea68f68d3dcc14c5","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_08.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0008.png",""
"Move","7cf47875abb4d4546a65fd90a9e201b3","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_09.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0009.png",""
"Move","06f8a77b77919ca4581acf6b5357665a","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_10.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0010.png",""
"Move","f710818e9edfff14294a91f86d581a00","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_11.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0011.png",""
"Move","5bd7c1b8d0eed1f419a33c5302f1146b","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_12.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0012.png",""
"Move","8b191f34375c3a74f987acf728a3682d","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_13.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0013.png",""
"Move","4c976d37faf5c1a42b25cac52ca213b1","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_14.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0014.png",""
"Move","00017fc07162e0e4fb9daac66aad5f20","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_15.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0015.png",""
"Move","d677d8bf23f34944a850f58296ea43b5","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_16.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0016.png",""
"Move","35c9c61d0427a6d4786cc388e4f0160b","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_17.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0017.png",""
"Move","9e5bdf30ca1849f42a6038f062ea7b06","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_18.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0018.png",""
"Move","cdd80a37885a18844801ced4abceb283","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_19.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0019.png",""
"Move","b6b8a007cdba48e4992372c1ebea88a2","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_20.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0020.png",""
"Move","aed91ced9f0dc0b45ad4f9a410a4abab","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_21.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0021.png",""
"Move","0773fa8ab08daad468a7261ead36d472","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_22.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0022.png",""
"Move","b6ace45bb5a852e4abda8b0f9d03bd30","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_23.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0023.png",""
"Move","33306bfaad16b1047bd689a86af86b96","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_24.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0024.png",""
"Move","ab87178392f9fd04fb2580d48a097b2f","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_25.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0025.png",""
"Move","5676249191156c3499dc8ff6bf2855e0","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_26.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0026.png",""
"Move","4163d5a6f734dd34098193fe8a2aa1b5","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_27.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0027.png",""
"Move","6b02f05333d6f0449842fb8d7f716725","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_28.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0028.png",""
"Move","011755bd7f1d7a84b81f67380d839abf","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_29.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0029.png",""
"Move","c50362a843b66f94d8e295e23ade990e","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_30.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0030.png",""
"Move","3c7de28b853f73d4f9fc696071662c33","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_31.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0031.png",""
"Move","3fe9645f79623c44faed21cf875334c7","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_32.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0032.png",""
"Move","c4f33bf030b9ea54186704d90cb90fe4","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_33.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0033.png",""
"Move","35cde3e595bfeff4695099efa47fea5c","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_34.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0034.png",""
"Move","a239b90e959b81d4e9193d9d91e06dfa","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_35.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0035.png",""
"Move","3dd864925a4b91741af4d0e130255271","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_36.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0036.png",""
"Move","a55f4fdb65ad0c544884dca4a25b1817","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_37.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0037.png",""
"Move","73d0f67157062764681a2a1605f78f1d","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_38.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0038.png",""
"Move","22e89beed3661664babc0f5cb56a7424","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_39.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0039.png",""
"Move","355d3768a5836144cb35283c1404f950","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_40.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0040.png",""
"Move","3e6d2e6351196bc42baa90e2ac09c3ca","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_41.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0041.png",""
"Move","c2f7891da0f561142bb65408914ec99d","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_42.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0042.png",""
"Move","f1086377c0314f743b9603c80c5e1507","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_43.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0043.png",""
"Move","3c13a64cebebf6d4ca1df5eba441e5ee","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_44.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0044.png",""
"Move","7288a62bffad37c4b8c66702eaab3379","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_45.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0045.png",""
"Move","7189d7c7735cd014a929082a1cdc6fe3","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_46.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0046.png",""
"Move","b1cb08a837c3d8f498696b71d8f1744c","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_47.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0047.png",""
"Move","9d0682a2f21708b49902ff6325b0ae53","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_48.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0048.png",""
"Move","4cf5dc816465d6b44b50c73b56ac5bd4","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_49.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0049.png",""
"Move","b9c4a768655cdfa4e9379ef0e595c7aa","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_50.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0050.png",""
"Move","22572953f309ff7469569d4cd0aedae2","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_51.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0051.png",""
"Move","f9233e77eaecd2d4ba2af6989c0ad945","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_52.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0052.png",""
"Move","110af4acc6a791946aa99b44493d80fd","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_53.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0053.png",""
"Move","088fa8df69d412749aa2cd0c7d8c95ab","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_54.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0054.png",""
"Move","33e2298a5ad449a418560ef0e25aedc3","Assets/Game/Sprites/ColorTiming/Boss/Skill5/尖刺特效_55.png","Assets/Game/Sprites/ColorTiming/Boss1/Effects/Attack5/首领1_第五招_尖刺特效_0055.png",""
